Metadata: Simulated EEG data for testing
EEG.AF3,EEG.AF4,EEG.F3,EEG.F4,EEG.F7,EEG.F8,EEG.T7,EEG.T8,EEG.P7,EEG.P8,EEG.O1,EEG.O2,EEG.FC5,EEG.FC6
-10.036791,36.057144,18.559515,7.8926787,-27.518509,-27.52044,-35.35331,29.294092,8.089201,16.645805,-38.35324,37.59279,26.595411,-23.01287
-25.454002,-25.327639,-15.660621,1.9805145,-5.4443984,-16.70167,8.948232,-28.84049,-16.628428,-10.691052,-3.5144012,22.814077,-24.026098,1.1387551
7.3931656,-36.283966,8.603588,-26.35807,-34.79587,35.910843,37.25056,24.671787,-15.630898,-32.18623,14.738642,-4.7878003,-30.23694,-0.38584718
-37.248917,32.745632,-19.297602,13.001782,-15.063114,1.6054417,3.7368224,-25.211643,37.56677,22.010626,35.159916,31.586187,7.8319983,33.74994
-32.9206,-24.321371,-36.381817,-13.973574,-8.905817,-18.292078,26.299,-11.459734,-17.52524,3.4156866,-28.726063,24.175758,-34.03595,38.950954
21.779581,-24.102745,-39.55823,25.236914,16.548588,18.320574,21.701628,-34.076427,-11.3227415,-30.730474,29.048275,9.863851,-13.528158,-34.915333
-15.121414,-13.985334,18.368494,11.004598,30.97702,-2.222806,-30.43246,17.059584,20.862804,4.902176,21.677374,-0.4963523,1.8186264,-5.7967186
-37.96647,-31.368687,-37.485664,10.912833,-14.8515215,0.6856553,32.605316,-20.056622,-7.1693664,20.444092,-21.696146,-33.841606,-16.819883,-27.102297
34.375813,24.64963,10.6723,29.716846,24.293766,-25.074396,31.40472,3.1473794,24.595213,31.687304,-14.559722,-31.195847,-21.765186,-5.831377
25.441181,28.858446,-39.44383,0.8597842,-6.6071196,-22.231375,-30.41077,-12.990787,35.432777,-14.143765,1.5032498,16.241516,-10.909632,37.742565
36.995785,-19.857416,-0.22011954,-15.929735,-17.21276,-37.049046,8.765146,0.21432185,-35.8817,-17.708282,32.66127,-20.835049,-28.408411,-0.8437792
38.852036,-20.635578,13.7708435,20.92957,-20.988997,18.257307,-10.57735,10.584466,10.682377,2.8619747,-32.776817,26.8242,-14.337595,-25.07852
-36.737988,7.2714353,14.205149,-38.672974,0.96744466,-21.880339,11.613823,-26.050686,15.275019,-9.0611725,34.9384,-28.998325,-12.714692,-30.92212
33.97549,30.18715,-19.36467,12.798723,25.377775,4.4160647,2.3720462,-20.651817,-32.551777,31.77726,32.033443,10.648116,-12.877617,-12.063234
18.076454,31.768822,30.966913,22.390043,11.362532,-33.268803,-27.069702,31.884335,8.514325,-39.264236,-31.882277,13.080141,-39.595074,-27.135355
3.898703,15.351616,12.1569,-22.058455,16.974339,-21.020073,-13.968024,19.719313,11.970632,27.937872,12.609032,5.4646883,-32.50602,-10.582736
-18.78381,-20.48083,37.840843,-8.552182,31.363724,10.49109,23.584904,0.21096745,6.152311,-0.5985845,-24.380562,17.79617,-17.538212,-38.05472
11.637784,-25.831146,35.236687,36.314285,33.18915,-10.387304,-38.76347,34.265484,-5.7452683,37.332386,37.0896,28.240757,-16.444088,-9.192182
28.090933,-14.646239,-26.44058,4.5441008,34.892384,15.682384,5.6048937,-32.22588,9.200578,39.204308,-28.79328,1.4663721,30.189846,19.26149
15.761259,16.198727,-11.240708,-16.512653,24.748892,24.809072,29.365786,33.059246,0.9073919,0.12130357,23.863615,11.997114,16.15735,23.663414
31.200428,-12.960387,-9.953363,-32.481445,6.262411,-37.12462,-2.7521586,3.4115708,-17.0767,7.2666607,-37.55998,-37.012146,25.808044,-11.184749
-29.83516,1.7794608,21.599483,-22.734318,9.831238,-33.172203,-35.865463,2.5083706,3.2508097,10.994392,18.087307,38.068165,1.3040279,-14.163482
23.614895,-18.33342,-4.8822865,-33.723488,-37.97194,37.01187,26.87841,15.677937,-7.2837644,-26.136454,-27.485037,-19.980568,3.9381332,17.167673
12.81579,-17.605288,36.38922,19.031754,4.3483243,8.937659,-6.431995,-20.18152,-11.522185,20.62769,-38.848522,-30.71419,-36.31979,-36.741695
28.436846,16.29263,-2.0660937,-32.173267,-0.67073,-2.1222584,-26.14385,-5.291868,-8.119621,9.268008,10.807492,-36.37568,-10.030991,10.068793
0.2509007,28.519188,12.695491,-26.965246,-34.3545,11.393542,-37.879097,6.8620467,35.21842,6.0379343,-8.946406,11.4630575,-3.3397686,3.6493433
35.317184,-9.111789,36.895245,32.42805,-24.33671,-34.451096,-31.93776,-38.542255,-32.444565,14.640542,-34.30491,-14.48195,27.590025,-38.138245
25.157478,-17.451618,-30.546814,15.738974,10.315428,30.197762,18.805683,24.278475,-17.437235,-25.804836,20.049181,24.54678,39.24041,-6.990586
-10.238553,22.113037,-12.735717,34.460587,28.67302,-5.6804776,20.069685,20.36343,-31.75009,32.20423,0.4201898,26.116598,-14.396032,31.64186
-8.863866,-39.132988,32.430557,-32.697067,-14.454909,36.00496,36.048573,5.875031,10.546977,-4.124358,-16.543139,-13.706837,13.8014765,20.189962
23.326323,23.16945,-32.70351,-0.44637564,-35.395298,3.9623106,-4.67756,31.016335,-11.926799,-30.634638,-28.560665,20.92085,9.457445,-31.910187
-33.271454,16.07753,-34.17896,25.748804,16.499378,-33.492096,-33.212982,38.931168,-10.058336,-10.348628,25.023966,35.779884,38.880085,20.270254
-9.899233,-33.319942,22.171753,4.67234,-6.062239,32.50835,-31.104202,-0.5899916,-39.09171,-2.5071487,-35.49574,-30.494566,-30.5979,11.936824
19.68359,6.6695013,36.973804,-10.010354,-17.143034,29.48793,-22.112333,37.057804,-39.02764,37.590305,-36.547207,31.291449,2.2160888,39.437183
-34.096275,4.308343,37.544205,1.8478276,10.3518915,15.659895,-3.636715,10.204646,6.745145,32.09264,-36.36429,-17.522945,36.032917,31.221102
-3.5474598,9.610608,-17.809505,-24.950308,-2.9041276,-11.731822,6.692489,-33.78123,37.951584,38.89686,15.852937,2.8877094,-15.237791,25.103601
14.778494,-26.990644,32.874176,25.802979,35.983994,18.05756,9.0732155,-6.540557,34.61828,29.28511,-36.382507,-37.89064,-9.882931,24.844267
38.98209,-27.966648,7.530457,-9.528731,37.59315,27.369514,27.066296,-2.504547,-6.81444,-18.127434,-35.48996,29.17779,25.032082,39.977413
39.730946,4.4345365,21.518993,35.581257,27.97179,-20.212152,-3.956469,-29.667246,36.32408,8.493971,-21.708576,13.736054,9.450259,-11.346983
-30.915392,13.725856,1.624616,21.785471,1.6130801,28.17452,4.152547,4.8750377,30.132288,-7.7213707,-29.278782,-37.697388,20.41098,9.624764
16.326382,-22.962868,-29.090282,-38.836426,-11.952995,7.193415,-8.620477,-5.002006,32.332695,-12.139563,1.1191591,22.692242,-8.276577,9.766936
28.989098,35.96165,-28.234121,34.12701,-0.63069654,-19.340448,-3.2691395,38.402607,-0.5905525,-13.699871,10.672069,-20.788351,-33.930935,-29.689623
-29.756332,-27.847784,-28.893826,11.2699795,-25.449593,-12.346618,31.743073,-2.0830688,13.404619,-26.21441,-24.616879,-36.73051,-26.485195,-17.712772
-25.83916,-32.903797,-30.34913,-3.1376987,-23.493303,-10.858411,0.27338168,15.231586,-36.85503,23.952831,10.232031,-33.45928,29.88629,33.669792
-35.11376,-17.849789,24.496103,19.860775,-25.23832,-23.252054,-10.362232,-1.2381612,9.4603815,-10.486909,-2.9972227,19.797674,-37.065342,-19.805044
17.067966,31.616547,0.93419534,2.569079,-31.426239,-4.2070107,2.6093812,-20.60236,-18.46054,-9.817267,-38.394302,-14.233666,-23.08416,-13.800212
-30.41903,31.242182,7.4873962,14.328185,23.1337,-0.12462409,-33.046375,2.9685233,6.9472895,19.635159,-5.4672365,-29.793575,-17.297928,-10.953416
11.673379,5.6622643,-11.512262,38.92122,8.461986,-21.021856,-31.857403,-27.771269,-20.323381,-27.14549,-25.074638,-17.192387,-26.130112,31.741234
-33.5813,1.9609112,-7.168254,38.59029,-31.036888,-8.171552,37.557636,29.24057,25.365767,-19.367773,-26.328993,13.491458,34.35008,4.5410314
5.7290154,-17.601673,21.559435,-25.0365,-14.105661,-5.965085,0.6088303,-20.607222,-30.813053,8.849604,-16.909555,6.499058,-27.650982,-1.5087918
2.6071546,-35.85412,-13.071658,-29.246826,-34.930004,39.19682,-14.211693,24.789955,-19.628748,14.520218,20.81823,7.651099,-2.2739048,-7.0527267
-12.090539,34.36233,26.449553,37.202152,-30.056223,18.469398,35.067238,-25.501354,-34.680298,19.289652,5.957849,27.346302,-28.81821,23.621386
-23.869814,-26.907524,-26.858736,25.165977,13.215777,1.845234,-11.293561,30.176043,-8.604391,25.327955,-4.8692074,-9.844445,-2.9856172,-15.8897705
19.80875,0.2176312,-21.422985,31.965965,-9.288702,3.4842288,32.51777,9.939039,-30.648157,35.18657,10.216644,-13.207551,-28.858234,23.522015
9.605821,2.6768873,31.511406,23.087776,-27.866009,-15.062235,-20.120869,19.515703,-37.317406,5.5911746,20.996695,30.14125,-12.63346,25.700584
-31.149462,27.716183,-29.800907,-8.217017,23.783628,-28.006605,-21.65989,17.780205,17.602922,11.291811,15.515876,3.4179554,-19.856075,-12.34432
-25.472183,32.676044,6.671344,-7.9318867,-3.0395358,35.78267,-27.731888,6.8983865,0.4710943,8.916339,-38.551186,29.769913,34.56946,5.2106547
15.732066,33.79995,16.57909,-27.796877,6.103069,8.537204,-6.069546,18.915539,34.749363,34.045483,-3.9328504,-30.940956,38.787296,27.111847
-30.026985,33.66735,29.59171,1.5070446,7.302035,-8.079783,-35.61907,-13.18422,24.228275,-39.629436,-13.320066,-8.146504,2.9916482,33.588448
-12.29232,-12.243744,19.0001,-3.8225648,-22.031614,-3.8048387,-28.731438,-25.889042,-0.13057818,-6.485964,33.18767,-11.008488,6.447068,10.581143
-38.952442,13.08299,-25.757122,36.885624,-28.106981,-6.83007,-33.172028,39.74994,0.17560083,7.630801,-34.63388,19.996838,-23.207552,31.844343
-23.588829,-24.744982,-37.076027,-2.2346444,5.1872907,-34.74331,22.04221,-3.7368932,1.9512216,-4.7389803,-7.9389553,4.7712264,-27.58078,-25.44575
28.94285,35.689236,-10.135255,-18.340425,11.519963,-7.301266,-37.969093,-27.507792,17.277779,12.713916,-37.83232,-22.242228,-21.514017,13.751419
-38.423157,-31.671314,23.993286,-25.716427,12.219688,-20.945377,-32.04469,-20.546225,17.781355,28.455717,26.41759,-8.225318,13.446811,-23.601255
-16.548182,31.706865,-38.959846,-33.159317,-23.369099,-37.877422,-25.485165,6.643325,-6.286036,31.413736,25.395485,-12.654612,-19.246126,-9.624607
7.2235956,-18.554909,9.931912,-7.247068,4.1637745,-5.1098776,-16.44274,35.876263,21.088463,-28.790945,29.477438,-1.0055041,31.564178,23.98842
-5.9829197,-38.202454,-18.505812,3.330737,10.678258,-19.368984,-28.851515,26.794418,38.752174,2.0552146,-26.265657,-18.215414,-38.528748,33.143906
-30.579914,6.121318,-18.075583,4.3342404,12.113631,26.379345,-23.486298,-39.120335,-29.04915,32.00149,29.911205,7.7930484,8.041348,13.202934
-25.970297,33.152954,-6.498358,-9.348918,1.5134164,-36.24272,-26.69733,19.042688,-33.376106,8.252169,-20.37207,-8.856351,-16.904501,-11.546183
17.523672,-16.230263,5.3123713,-1.9159678,13.093693,34.94638,18.605768,-22.80477,-37.50535,-19.018877,7.6062346,-35.885937,-0.29070023,7.747428
-13.2604885,21.672976,-31.47214,-33.98898,18.2551,-0.3606947,15.072191,-5.213813,-20.287838,25.528185,23.95327,15.575718,-18.22839,7.2184534
-11.122088,-32.673435,33.385086,-29.05451,36.01899,-4.319538,-25.189365,3.3520758,29.835667,18.577991,24.52489,12.702669,15.382125,27.935652
-20.02656,-0.84600294,-22.303246,39.01344,35.524746,-36.845856,16.446014,34.019867,-25.553972,5.4356184,33.239063,-37.28432,15.793621,-16.21208
33.951694,37.684658,35.54132,-2.0628626,28.963411,27.563951,-14.471962,26.313238,-37.03939,7.70159,-21.599293,-30.354649,-33.843742,15.703102
-12.810003,17.981342,-34.771492,-14.7767725,3.1593034,23.257853,-14.4998,10.07131,30.87822,9.269055,-21.363241,-38.04794,29.60791,-38.298447
29.976133,2.3149707,35.125416,23.902658,39.83473,-11.943055,21.375063,-7.8455267,-1.6099504,10.200437,29.894169,38.726677,21.461874,-6.5786576
-6.29144,19.006584,-20.89783,-31.162071,-11.630227,-17.02088,-16.295351,-21.31138,-36.632545,-38.570084,39.01779,-5.778149,-9.253868,14.371782
-22.539688,35.996895,22.9076,-32.84712,-6.593538,30.329464,35.578564,-2.6078792,9.072911,-26.637285,39.29349,-21.466265,35.41854,11.971732
8.618943,1.0150809,-21.546415,-25.877758,-22.361103,-25.08494,22.366758,-11.989979,-35.372585,37.52821,30.702871,34.220184,39.592625,-26.08838
-8.300638,20.659079,15.681649,-27.688328,25.26665,-22.044754,-22.094591,2.957954,7.435195,6.4068966,-32.681053,30.196869,-18.751997,-29.638805
31.099846,36.45212,28.97021,24.761286,12.419358,4.0685897,-33.041058,-7.323743,-10.184918,-19.219698,17.87361,-0.32994118,-33.516304,-22.385344
14.660701,-33.90953,28.096554,-0.38827783,-1.5530738,7.392623,25.974478,-12.175263,14.241292,5.2585573,-18.63774,30.2904,23.794083,12.6761465
28.046537,29.383535,16.669039,26.961067,15.797717,14.411262,9.488911,20.21733,-27.311592,30.46966,29.747482,-37.660217,26.06534,-29.69041
-13.190492,19.480661,-27.139208,25.437363,26.570734,0.5974187,-39.489132,-17.03695,9.354154,38.494896,10.545082,-19.215714,10.720456,3.1988304
22.387632,-31.44155,20.882233,3.3013263,37.03936,-12.650227,10.609752,34.56225,-31.799221,34.97828,15.030858,-34.573036,-15.9229145,16.653767
-34.611954,6.573637,-12.329355,9.673242,-36.340637,29.722944,37.879116,37.510227,19.972147,-29.593102,20.661057,-38.033047,-38.230114,-14.111182
-0.9085448,21.632593,14.6636305,-4.3277836,-18.109867,39.76996,-5.9054956,-3.889038,-26.910095,23.584764,15.494578,-22.33843,-33.409515,14.439944
12.360897,-18.139238,36.069084,-27.915369,-5.413216,35.489273,-6.4218144,11.082076,-8.192449,-18.062784,38.718212,-7.2532797,31.527937,-21.603632
-22.951624,-37.509274,12.133346,-10.517893,29.14866,-2.1432076,37.455475,-25.157959,29.489853,22.127748,21.673748,27.582659,20.88192,10.097626
-29.50041,-37.397907,33.667828,9.332026,23.722982,-1.4782119,-30.615345,-29.985136,14.845223,-5.5755286,-23.958021,-0.67243624,-34.863285,6.557712
-18.480528,23.804728,-15.171043,-3.5823882,-39.07036,-34.20425,-8.600515,-1.6048932,8.001644,-16.666994,15.598551,28.809792,22.388079,-36.830494
-1.5594442,-31.605585,-20.636398,38.933006,-28.600357,-0.08894772,9.452458,16.197197,4.7718945,-39.21833,-13.883096,1.4169315,-32.97068,-11.949845
-37.34375,-33.71372,-8.246138,-29.38274,5.403268,15.157198,24.046936,-23.98798,-26.601393,-31.634573,10.91442,16.518059,-37.47311,34.89698
-35.842297,3.303707,16.724842,29.67753,17.126955,24.138247,-12.843985,25.186008,-33.590813,31.585333,3.80739,25.383821,-3.8145373,11.486216
2.112213,18.527163,-33.4696,-35.171833,-20.23174,-27.236425,29.742685,-22.462881,38.06922,-13.048337,-25.430567,23.17588,12.696622,-0.14434269
4.4290843,17.536142,-21.723621,39.706715,37.98345,12.026055,-24.036604,14.41826,-34.22413,-37.5478,-19.385368,-2.9901636,29.4618,18.173525
19.416521,-5.960533,-12.325201,-10.316899,39.011967,-36.791264,29.36252,6.2940326,-4.9107666,18.020613,-1.0664847,29.87386,32.05615,-6.262326
-17.853777,7.388026,32.989067,-23.147024,9.837327,10.524817,18.649042,-29.474585,17.265997,32.722603,-25.62535,-20.996534,37.71161,-25.521843
28.350807,-0.6177715,-20.221514,29.659992,-4.37558,1.1853883,-11.261331,7.436068,-26.91809,-8.713477,37.552986,-19.349325,12.538933,-13.984795
21.87785,-29.530107,37.585682,-3.6968367,-21.115963,-34.12026,-26.419367,1.5819159,-13.039746,26.310669,-5.528998,-20.102858,9.371599,16.542177
-26.636648,-26.590464,-37.066284,18.91216,13.1043625,-2.02953,27.533636,24.453611,6.828349,29.461702,-23.532703,-31.04643,-18.42003,-35.433052
2.4935622,34.928455,-36.852516,-30.231207,-3.8240778,34.710003,-14.707512,0.5787847,-36.67417,-28.132544,38.93041,37.209496,-39.6048,36.144943
11.129595,29.433464,-3.6208115,1.2476823,-0.8922736,13.34914,-28.8279,-37.60211,-15.365604,16.37446,-23.851725,13.874595,37.592964,-32.48794
13.808169,-4.4999824,29.45138,-25.828016,15.410076,27.049223,35.569138,14.6598425,-0.22601888,9.427779,29.5124,5.64878,-37.569035,34.475895
15.16214,14.121071,-22.745987,12.710837,-8.490848,12.098639,-31.472557,12.6276245,39.9531,-36.143036,38.173935,-7.4473634,29.660276,22.59084
5.361301,19.075937,30.281244,-7.668774,-13.837347,13.407471,24.627676,20.982811,23.825092,-5.1533346,25.426737,-30.383276,3.5591278,-39.539307
-14.0331335,-10.683077,-8.306185,15.637377,-8.915352,-4.1045103,-20.99647,-10.139856,-21.81843,-34.144325,8.2758875,13.457024,9.559228,-2.9204764
-9.617138,29.066692,1.5265428,-1.6654497,-37.948635,-12.700173,-9.584351,-8.094177,6.4137897,2.6882038,8.632407,21.19066,25.038858,17.449846
36.441895,-38.541393,-24.33776,-39.39497,11.797977,31.842443,-20.521416,34.16276,-35.178608,34.754883,-11.870185,-31.886333,-1.1302593,-19.457874
-17.210167,-15.416802,24.242071,3.1329021,-15.095384,8.826703,17.292053,-18.19008,-6.916072,-30.249113,-25.508053,14.4894285,-25.484932,2.0130706
16.723701,-31.449846,5.3849773,-19.474977,37.03415,-1.3163483,24.479404,4.018123,-36.526997,10.65211,36.112267,8.128945,25.535109,30.736517
-21.753618,-23.036413,8.878479,-7.1177225,27.188904,32.00185,-11.72629,-21.050356,22.442041,-18.015516,25.809145,-6.1009398,13.403992,-32.357174
9.908746,-3.8585856,6.928677,-26.558863,18.9499,29.023766,-22.660816,-32.342834,-38.108913,11.35772,8.567523,3.735793,-21.444233,-8.72752
7.558107,-0.2586513,39.022842,-29.08482,15.611565,-7.6544986,-5.744031,17.407822,15.394892,39.30048,-29.728456,-31.671228,17.947105,6.270953
-18.067146,-33.64645,-33.14734,31.53527,-24.650614,-14.130275,-21.867487,-11.600295,-34.44609,1.5247833,-34.590996,24.02852,-21.303034,3.2009532
30.406326,12.070189,2.636623,-14.0533,-13.359847,13.558956,39.531147,12.947135,4.6226735,18.452042,-2.783551,-35.188614,4.983745,36.610023
-25.975765,15.200391,-23.925304,2.8662148,-32.265884,-3.970325,20.493067,-12.194278,13.192938,23.635998,34.174225,-21.228634,-8.054727,-27.806719
39.39868,34.160076,3.1965704,27.362663,1.6766381,9.886855,-32.870045,20.421633,-29.78292,26.085411,22.562246,16.699575,-37.10717,-15.749731
-18.950994,-11.189088,-32.98858,34.956627,4.304179,-15.558055,-8.241479,-4.223797,8.047546,1.2543542,33.551357,-0.24292137,39.372643,28.113997
-23.319159,34.447617,-30.69069,25.395977,-9.550137,30.237946,29.444534,24.474031,23.202435,-15.625669,-33.52646,-7.7615857,-26.118038,15.596087
-12.312022,38.048817,11.277766,25.798445,-29.398026,28.961159,33.820576,-1.0350465,8.500235,21.184784,-26.012909,0.20528612,-8.106957,-28.290081
-10.597246,-34.546215,-37.935047,-29.186697,37.04921,3.9623628,37.265774,-5.40017,-15.054709,0.49134904,-4.839065,-31.546825,11.266106,-22.716946
9.567037,12.016088,-27.838013,-35.09203,22.460926,-3.215966,-35.346897,39.589306,-35.377556,15.6028185,38.694313,-20.865591,-28.62005,-30.289206
-15.737988,-31.916336,15.372908,-35.016655,0.75377023,39.73575,25.117622,9.217555,-15.49971,9.911667,2.1633172,-5.913329,-29.543169,30.928337
-4.017228,-24.430199,-10.579252,-6.86962,26.203032,18.68915,21.544392,-39.1175,-6.70768,-1.4924679,-38.46462,-19.214943,20.823185,-29.031223
2.8248105,-22.78385,-39.03034,-20.703884,38.0699,24.122969,36.766132,-0.97167647,-31.221104,3.836759,-3.6498132,27.548567,-32.153393,-0.94070905
-27.996107,-14.025926,18.988565,-1.9185497,-9.928937,-8.441897,-3.2442586,22.801323,31.366776,36.426773,22.95227,-14.767448,15.0507765,-4.9917502
-19.62635,27.269726,-36.92589,32.14096,-3.0818028,10.976118,12.748314,31.609419,10.933575,9.114687,-34.667835,1.4726417,-27.98648,18.994701
0.97775364,14.418222,-36.66617,-33.21664,17.305872,-34.233253,-34.29946,-39.031322,36.52011,19.00067,-11.739887,-16.277153,-12.023742,21.972282
